# Attractive grayscale -> red -> green colormap
0	0	0
0	0	0
1	1	1
1	1	1
2	2	2
3	3	3
3	3	3
4	4	4
5	5	5
5	5	5
6	6	6
7	7	7
7	7	7
8	8	8
9	9	9
9	9	9
10	10	10
11	11	11
11	11	11
12	12	12
13	13	13
13	13	13
14	14	14
15	15	15
15	15	15
16	16	16
17	17	17
17	17	17
18	18	18
19	19	19
19	19	19
20	20	20
21	21	21
21	21	21
22	22	22
23	23	23
23	23	23
24	24	24
25	25	25
25	25	25
26	26	26
27	27	27
27	27	27
28	28	28
29	29	29
29	29	29
30	30	30
31	31	31
31	31	31
32	32	32
33	33	33
33	33	33
34	34	34
35	35	35
35	35	35
36	36	36
37	37	37
37	37	37
38	38	38
39	39	39
39	39	39
40	40	40
41	41	41
41	41	41
42	42	42
43	43	43
43	43	43
44	44	44
45	45	45
45	45	45
46	46	46
47	47	47
47	47	47
48	48	48
49	49	49
49	49	49
50	50	50
51	51	51
51	51	51
52	52	52
53	53	53
53	53	53
54	54	54
55	55	55
55	55	55
56	56	56
57	57	57
57	57	57
58	58	58
59	59	59
59	59	59
60	60	60
61	61	61
61	61	61
62	62	62
63	63	63
63	63	63
64	64	64
65	65	65
65	65	65
66	66	66
67	67	67
67	67	67
68	68	68
69	69	69
69	69	69
70	70	70
71	71	71
71	71	71
72	72	72
73	73	73
73	73	73
74	74	74
75	75	75
75	75	75
76	76	76
77	77	77
77	77	77
78	78	78
79	79	79
79	79	79
80	80	80
81	81	81
81	81	81
82	82	82
83	83	83
83	83	83
84	84	84
85	85	85
85	85	85
74	1	0
84	3	0
94	5	0
105	7	0
115	10	0
125	12	0
135	16	0
145	19	0
156	23	0
166	28	0
176	32	0
186	37	0
196	43	0
207	48	0
217	54	0
227	61	0
237	67	0
247	74	0
255	81	0
255	85	0
255	89	0
255	94	0
255	98	0
255	102	0
255	106	0
255	111	0
255	115	0
255	119	0
255	123	0
255	128	0
255	132	0
255	136	0
255	140	0
255	145	0
255	149	0
255	153	0
255	157	0
255	162	0
255	166	0
255	170	0
255	174	0
255	179	0
255	183	0
255	187	0
255	191	0
255	196	0
255	200	0
255	204	0
255	208	0
255	213	0
255	217	0
255	221	0
255	225	0
255	230	0
255	234	0
255	238	0
255	242	0
255	247	0
255	251	0
255	255	0
248	252	0
241	249	0
234	247	0
228	244	0
221	241	0
214	238	0
208	235	0
202	233	0
195	230	0
189	227	0
183	224	0
177	221	0
171	219	0
165	216	0
160	213	0
154	210	0
149	207	0
143	205	0
138	202	0
133	199	0
127	196	0
122	193	0
117	190	0
113	188	0
108	185	0
103	182	0
99	179	0
94	176	0
90	174	0
85	171	0
81	168	0
77	165	0
73	162	0
69	160	0
65	157	0
62	154	0
58	151	0
54	148	0
51	146	0
48	143	0
44	140	0
41	137	0
38	134	0
35	132	0
32	129	0
29	126	0
27	123	0
24	120	0
22	118	0
19	115	0
17	112	0
15	109	0
12	106	0
10	104	0
8	101	0
7	98	0
5	95	0
3	92	0
1	90	0
0	87	0
0	84	1
0	81	3
0	78	4
0	75	5
0	73	6
0	70	7
0	67	8
